ObjNummer;Name;Bereich
FR89;Le Mouret;A
FR89;Le Mouret;B
FR99;La Tuilerie;B
FR99;La Tuilerie;A
FR100;Les Nex;A
FR102;Les Dailles;B
FR102;Les Dailles;A
FR115;Sur Plan, Les Cases;B
FR115;Sur Plan, Les Cases;A
FR132;Auried;B
FR132;Auried;A
FR133;Ehemalige Kiesgrube Reben;A
FR144;Saaneboden;A
FR144;Saaneboden;B
FR145;Stöckholz;B
FR145;Stöckholz;A
FR147;Düdingermoos;A
FR147;Düdingermoos;B
FR161;Rohrmoos;A
FR166;Nümatt;A
FR170;Entenmoos;A
FR170;Entenmoos;B
FR200;Rathvel;A
FR200;Rathvel;B
FR201;Lac des Joncs;B
FR201;Lac des Joncs;A
FR210;La Grève, La Grande Gouille;A
FR211;La Grève, Autavaux, Forel;A
FR214;Les Grèves, Cheyres sud;A
FR215;Les Grèves, Cheyres-Font;A
FR216;Ancienne carrière Les Saus;B
FR216;Ancienne carrière Les Saus;A
FR217;Pra-les-Bous;B
FR217;Pra-les-Bous;A
FR218;Overesses;B
FR218;Overesses;A
FR220;Petite Sarine;B
FR220;Petite Sarine;A
FR224;Pré aux Boeufs;A
FR224;Pré aux Boeufs;B
FR276;Vuibroye;A
FR276;Vuibroye;B
FR411;Krümmi;A
FR411;Krümmi;B
FR503;Ärgera;A
FR541;Hinterem Horn;B
FR541;Hinterem Horn;A
GE5;Champs Grillet;A
GE5;Champs Grillet;B
GE10;Bois des Mouilles;A
GE10;Bois des Mouilles;B
GE11;La Petite Grave;A
GE11;La Petite Grave;B
GE14;Moulin de Vert;A
GE14;Moulin de Vert;B
GE15;Raclerets;B
GE15;Raclerets;A
GE19;Pointe à la Bise;A
GE19;Pointe à la Bise;B
GE22;Allondon;A
GE22;Allondon;B
GE25;Prés de Villette;B
GE25;Prés de Villette;A
GE26;Arales;B
GE26;Arales;A
GE28;Laconnex;A
GE28;Laconnex;B
GE29;Haute Seymaz;B
GE29;Haute Seymaz;A
GE30;Mategnin;B
GE30;Mategnin;A
GE33;Teppes de Verbois;B
GE33;Teppes de Verbois;A
GE36;Peney;A
GE36;Peney;B
GE40;Pré-Béroux;A
GE40;Pré-Béroux;B
GE42;Douves;B
GE42;Douves;A
GE43;Maison de la Forêt;B
GE43;Maison de la Forêt;A
GE44;Choulex;B
GE44;Choulex;A
GE49;Bistoquette et Paradis;B
GE49;Bistoquette et Paradis;A
GE50;Combes Chappuis;B
GE50;Combes Chappuis;A
GE59;Dolliets;B
GE59;Dolliets;A
GL2;Niederriet;A
GL2;Niederriet;B
GL17;Walenberg;A
GL17;Walenberg;B
GL18;Talsee;A
GL20;Klöntalersee Nordostufer;A
GL37;Oberblegisee;A
GL37;Oberblegisee;B
GL47;Feldbach;A
GL47;Feldbach;B
GL96;Klöntalersee Vorauen;A
GR37;Flaz Golfweiher;A
GR37;Flaz Golfweiher;B
GR43;Palüds-Agnas;B
GR43;Palüds-Agnas;A
GR82;Cavloc;A
GR82;Cavloc;B
GR102;Lais da Pesch;A
GR106;Lai da Tarasp;B
GR106;Lai da Tarasp;A
GR111;Duigls;A
GR111;Duigls;B
GR118;Plan da Chomps;B
GR118;Plan da Chomps;A
GR120;Craistas;A
GR121;Ischlas da Strada;A
GR129;Lai da Juata;B
GR129;Lai da Juata;A
GR140;Lai da Valpaschun;B
GR140;Lai da Valpaschun;A
GR141;Plaun Schumpeder;A
GR141;Plaun Schumpeder;B
GR143;Schler dal Podestà;A
GR151;Rutisc Tonghi;B
GR151;Rutisc Tonghi;A
GR159;Crest'Ota;A
GR251;Pian di Alne;A
GR310;Ils Lags Alp Ramosa;A
GR310;Ils Lags Alp Ramosa;B
GR319;Ogna da Pardiala;A
GR325;Plaun da Foppas;A
GR338;Lag digl Oberst;A
GR338;Lag digl Oberst;B
GR339;Liger Alp Falätscha;A
GR339;Liger Alp Falätscha;B
GR361;Malixer Alp;A
GR361;Malixer Alp;B
GR386;Siechenstuden;A
GR391;Isla;A
GR392;Ellwald;A
GR395;Zizerser Gumpen;A
GR396;Girsch;A
GR396;Girsch;B
GR397;Bregl;B
GR397;Bregl;A
GR400;Dunkeläuli;A
GR412;Länder;A
GR442;Alp da Razen;A
GR457;Pro Niev;B
GR457;Pro Niev;A
GR470;Sayser See;A
GR470;Sayser See;B
GR567;Punt Planet;A
GR568;Flin;A
GR568;Flin;B
GR569;Lag Miert;A
GR569;Lag Miert;B
GR570;Tola;A
GR570;Tola;B
GR572;Fröschaboda Val Madris;B
GR572;Fröschaboda Val Madris;A
GR591;Neugüeter;A
JU200;Les Esserts;A
JU200;Les Esserts;B
JU701;Sous Bâme;A
JU701;Sous Bâme;B
JU703;En Cortio;B
JU703;En Cortio;A
JU902;Le Colliard;B
JU902;Le Colliard;A
JU1002;Bois de Chaux;A
JU1002;Bois de Chaux;B
JU1400;Combe Tabeillon;B
JU1400;Combe Tabeillon;A
JU1405;Combe du Bez;A
JU1405;Combe du Bez;B
JU1406;Foradrai;B
JU1406;Foradrai;A
JU1600;Les Charbonnières;B
JU1600;Les Charbonnières;A
JU1902;Moulin de Bavelier;B
JU1902;Moulin de Bavelier;A
JU2400;La Réselle;A
JU2400;La Réselle;B
JU4200;Le Refrain-La Bouège;A
JU4200;Le Refrain-La Bouège;B
JU4300;Les Saignes;B
JU4300;Les Saignes;A
JU4806;La Sagne à Droz;B
JU4806;La Sagne à Droz;A
JU4900;La Vauchotte-Bois Banal;B
JU4900;La Vauchotte-Bois Banal;A
JU5001;Dos le Cras;A
JU5001;Dos le Cras;B
JU5101;Plain de Saigne;B
JU5101;Plain de Saigne;A
JU5412;La Goule-Le Theusseret;A
JU5412;La Goule-Le Theusseret;B
JU5413;La Bouège-La Goule;A
JU5413;La Bouège-La Goule;B
JU5600;Bois Banal-Moulin Jeannotat;B
JU5600;Bois Banal-Moulin Jeannotat;A
JU5606;Les Pommerats;B
JU5606;Les Pommerats;A
JU5701;La Gruère;B
JU5701;La Gruère;A
JU5702;Les Royes;A
JU5800;Côte d'Oye;B
JU5800;Côte d'Oye;A
JU6400;Etangs de Vendlincourt;A
JU6400;Etangs de Vendlincourt;B
JU6600;Lorette;A
JU6600;Lorette;B
JU6604;Bellefontaine;B
JU6604;Bellefontaine;A
JU7000;Etang Corbat;B
JU7000;Etang Corbat;A
JU7500;Etangs Rougeat;A
JU7500;Etangs Rougeat;B
JU7501;Etangs de Bonfol;A
JU7501;Etangs de Bonfol;B
JU7508;Les Queues de Chats;B
JU7508;Les Queues de Chats;A
JU7801;Place d'armes, le Nalé;B
JU7801;Place d'armes, le Nalé;A
JU8101;La Coeuvatte;A
JU8101;La Coeuvatte;B
JU8400;Le Martinet;A
JU8400;Le Martinet;B
JU8700;Les Coeudres;A
JU8700;Les Coeudres;B
LU3;Staldenmoos;A
LU3;Staldenmoos;B
LU5;Schlossweiher Altishofen;B
LU5;Schlossweiher Altishofen;A
LU10;Hasliweiher;B
LU10;Hasliweiher;A
LU13;Gütschweiher;B
LU13;Gütschweiher;A
LU33;Uffikonermoos;A
LU36;Hetzligermoos;A
LU47;Chalchloch;A
LU47;Chalchloch;B
LU55;Risch, Rotseeried;A
LU55;Risch, Rotseeried;B
LU60;Ottigenbüel;A
LU86;Riffigweiher;A
LU86;Riffigweiher;B
LU105;Fuchseren;A
LU105;Fuchseren;B
LU116;Gürmschmoos;A
LU116;Gürmschmoos;B
LU119;Moos;B
LU119;Moos;A
LU122;Mettlenmoos;B
LU122;Mettlenmoos;A
LU132;Hilferenmättili;A
LU132;Hilferenmättili;B
LU133;Naturlehrgebiet Buechwald;B
LU133;Naturlehrgebiet Buechwald;A
LU145;Egghütten;B
LU145;Egghütten;A
LU155;Unter Chlotisberg;B
LU155;Unter Chlotisberg;A
LU156;Unterbüel;B
LU156;Unterbüel;A
LU206;Nordende Baldeggersee;B
LU206;Nordende Baldeggersee;A
LU210;Schützenfeld-Moospünten;A
LU213;Turbiweiher/Ronfeldweiher;A
LU222;Gütsch/Feldhof;A
LU222;Gütsch/Feldhof;B
LU227;Steinibachried;A
LU230;Burgschachen;A
LU246;Wolermoos;A
LU248;Hagimoos;B
LU248;Hagimoos;A
LU267;Schlagweiher;B
LU267;Schlagweiher;A
LU331;Tuetenseeli;B
LU331;Tuetenseeli;A
LU341;Vogelmoos;B
LU341;Vogelmoos;A
LU354;Moosschürweiher;A
LU359;Chüsenrainwald;A
LU360;Mühleweiher;A
LU360;Mühleweiher;B
LU398;Badhusaue-Fontanne;A
LU408;Staudenschachen Südarm;A
LU410;Unterallmend;B
LU410;Unterallmend;A
LU425;Forenwäldli;A
LU425;Forenwäldli;B
LU434;Steinibüelweier;A
LU434;Steinibüelweier;B
LU454;Wauwilermoos;B
LU454;Wauwilermoos;A
LU469;NE Hirsboden;B
LU469;NE Hirsboden;A
LU476;Hinter Roren;A
LU486;Grueb Grossfeld;B
LU486;Grueb Grossfeld;A
LU491;Wagenmoos;B
LU491;Wagenmoos;A
LU512;Ostergau;A
LU519;Grube Stoos Hüswil;A
LU523;Forenmoos;A
LU523;Forenmoos;B
LU524;Moosweiher;A
LU532;Chänzeli/Schachen;B
LU532;Chänzeli/Schachen;A
LU582;Grisigen;B
LU582;Grisigen;A
LU606;Wannenholz;A
LU606;Wannenholz;B
LU669;Lättloch;A
LU669;Lättloch;B
LU746;Zihlmatt Allmend;A
LU746;Zihlmatt Allmend;B
LU983;Buttenberg;A
NE1;Marnière du Plan du Bois;B
NE1;Marnière du Plan du Bois;A
NE2;Planeyse;B
NE2;Planeyse;A
NE3;Merdasson;B
NE3;Merdasson;A
NE5;La Gare;B
NE5;La Gare;A
NE12;Le Pélard;B
NE12;Le Pélard;A
NE13;Les Eplatures;B
NE13;Les Eplatures;A
NE18;La Galandrure;B
NE18;La Galandrure;A
NE56;La Marnière d'Hauterive;A
NE58;Le Loclat;B
NE58;Le Loclat;A
NE68;La Paulière;A
NE68;La Paulière;B
NE71;Les Sagnettes;B
NE71;Les Sagnettes;A
NE99;Le Foulet;A
NE99;Le Foulet;B
NE106;Les Goudebas;A
NE106;Les Goudebas;B
NE107;La Fabrique;B
NE107;La Fabrique;A
NE108;Pointe du Grain;A
NE115;Vauroux;A
NE115;Vauroux;B
NE159;Combacervey;A
NE159;Combacervey;B
NE163;Bois du Devens;A
NE163;Bois du Devens;B
NW59;Gnappiried;B
NW59;Gnappiried;A
NW61;Vierwaldstättersee Hüttenort;A
NW61;Vierwaldstättersee Hüttenort;B
NW62;Stansstader Ried/Rotzloch;B
NW62;Stansstader Ried/Rotzloch;A
NW69;Chrotteseeli Obbürgen;B
NW69;Chrotteseeli Obbürgen;A
OW1;Schlierenrüti, Reservat Sarna;B
OW1;Schlierenrüti, Reservat Sarna;A
OW35;Glaubenbielen Ribihütte;B
OW35;Glaubenbielen Ribihütte;A
OW45;Mörlisee;A
OW45;Mörlisee;B
OW47;Jänzimatt;A
OW63;Usser Allmend;A
OW63;Usser Allmend;B
OW78;Gerzensee, Blindseeli;A
OW78;Gerzensee, Blindseeli;B
OW109;Lungerer See Nordende;A
OW109;Lungerer See Nordende;B
OW123;Hanenriet;B
OW123;Hanenriet;A
OW127;Sachsler Seefeld;B
OW127;Sachsler Seefeld;A
OW167;Sewenseeli;A
OW201;Ritzenmattseeli;B
OW201;Ritzenmattseeli;A
OW204;Obermatteggweiher;A
OW204;Obermatteggweiher;B
OW213;Melbach;A
OW213;Melbach;B
SG9;Bildweiher;A
SG9;Bildweiher;B
SG20;Wenigerweiher;A
SG20;Wenigerweiher;B
SG21;Ochsenweid;A
SG27;Ziegelei Bruggwald;A
SG30;Huebermoos;B
SG30;Huebermoos;A
SG33;Kiesgrube Schuppis;A
SG42;Goldachtobel;A
SG59;Schlossweiher;A
SG59;Schlossweiher;B
SG70;Höchstern;A
SG94;Moosanger;A
SG94;Moosanger;B
SG103;Bisen;A
SG110;Eselschwanz;B
SG110;Eselschwanz;A
SG113;Bodenseeriet, Altenrhein;A
SG118;Fuchsloch-Buriet;B
SG118;Fuchsloch-Buriet;A
SG140;Banriet/Burst;A
SG140;Banriet/Burst;B
SG170;Alte Lehmgrube Hilpert;A
SG170;Alte Lehmgrube Hilpert;B
SG177;Wichenstein;B
SG177;Wichenstein;A
SG179;Spitzmäder;A
SG179;Spitzmäder;B
SG190;Au Büchel;B
SG190;Au Büchel;A
SG201;Wiesenfurt;A
SG201;Wiesenfurt;B
SG205;Retentionsbecken Ceres Rhein-Au;B
SG205;Retentionsbecken Ceres Rhein-Au;A
SG236;Burstried, Galgenmad;A
SG236;Burstried, Galgenmad;B
SG248;Egelsee bei Bad Forstegg;A
SG248;Egelsee bei Bad Forstegg;B
SG342;Kiessammler Vilters;A
SG342;Kiessammler Vilters;B
SG344;Kiesgrube Feerbach;A
SG365;Baggerseen im Staffelriet;B
SG365;Baggerseen im Staffelriet;A
SG367;Mösli;A
SG367;Mösli;B
SG374;Kaltbrunnerriet;B
SG374;Kaltbrunnerriet;A
SG384;St. Sebastian;A
SG384;St. Sebastian;B
SG396;Siessenweiher;A
SG396;Siessenweiher;B
SG398;Briggisweiher N Auenhof;A
SG398;Briggisweiher N Auenhof;B
SG399;Joner Allmeind;B
SG399;Joner Allmeind;A
SG405;Allmeind;A
SG496;Zuckenmattweiher;A
SG496;Zuckenmattweiher;B
SG506;Turpenriet;B
SG506;Turpenriet;A
SG515;Magdenau;B
SG515;Magdenau;A
SG525;Glatttal;A
SG552;Bettenauerweier;B
SG552;Bettenauerweier;A
SG554;Gill-Henau Reservat;B
SG554;Gill-Henau Reservat;A
