BE783;Au-Gand Kander
BE815;Juchli Käserstatt
BE815;Juchli Käserstatt
BE862;Weiher am Fuss der Gryde
BE862;Weiher am Fuss der Gryde
BE897;Weiher am Rüschbach
BE897;Weiher am Rüschbach
BE898;Riedgebiet Saligrabe
BE898;Riedgebiet Saligrabe
BE913;Lauenensee
BE917;Weiher Obere Brüesche
BE917;Weiher Obere Brüesche
BE930;Tümpel Hornberg Läger
BE930;Tümpel Hornberg Läger
BE939;Weiher ob Ottenleuebad
BE939;Weiher ob Ottenleuebad
BE947;Fischbächen Weiher
BE947;Fischbächen Weiher
BE962;Waldgass-Grube
BE968;Aareaue bei Belp
BE973;Belpau
BE998;Fischzuchtteich Gurnigelbad
BE998;Fischzuchtteich Gurnigelbad
BE1027;Seeli-Egg, Lochsiten
BE1027;Seeli-Egg, Lochsiten
BE1052;Heimbergau
BE1052;Heimbergau
BE1063;Schintere Lerchenfeld
BE1063;Schintere Lerchenfeld
BE1064;Gwattmösli
BE1064;Gwattmösli
BE1065;Thuner Allmend
BE1081;Buechholz Weiher
BE1095;Colas Grube
BE1101;Erlimoos
BE1101;Erlimoos
BE1120;Heideweg
BE1127;Muttli
BE1127;Muttli
BE1135;Cornez de la Mairie
BE1135;Cornez de la Mairie
BE1136;Vieille Birse
BE1136;Vieille Birse
BE1139;Biaufond
BE1139;Biaufond
BE1189;Weihermatt
BE1189;Weihermatt
BE1206;Chrümpelhütte
BE1237;Chnuchelhusgrube
BE1237;Chnuchelhusgrube
BE1239;Hirschigraben
BE1522;Stängelacher
BL45;Ziegelei Oberwil
BL45;Ziegelei Oberwil
BL62;Buechloch
BL62;Buechloch
BL64;Mooswasen
BL111;Talweiher
BL111;Talweiher
BL171;Bammertsgraben
BL171;Bammertsgraben
BL173;Herzogenmatt
BL173;Herzogenmatt
BL191;Mühlebachtal
BL191;Mühlebachtal
BL598;Steinbruch Andil
BL598;Steinbruch Andil
BL599;Steingrube Bohlberg
BL599;Steingrube Bohlberg
BL618;Steinbruch Arlesheim
BL618;Steinbruch Arlesheim
BL620;Holi Gass
BL620;Holi Gass
BL623;Klingenthal-Lachmatt
BL623;Klingenthal-Lachmatt
BS4;Eisweiher und Wiesenmatten
BS4;Eisweiher und Wiesenmatten
BS10;Autal
BS10;Autal
FR5;Les Grèves, Gletterens-Portalban
