NAME;KANTONSNUM
Albinen;23
Schlatt (TG);20
Cudrefin;22
Blumenstein;2
Bözberg;19
Laupersdorf;11
Rothenburg;3
Weinfelden;20
Villorsonnens;10
Dallenwil;7
Ersigen;2
Buchholterberg;2
Hallau;14
Schötz;3
Teufen (AR);15
Isérables;23
Bodensee (TG);20
Gryon;22
Saint-Légier-La Chiésaz;22
Versoix;25
Mathon;18
Tuggen;5
Grossaffoltern;2
Bönigen;2
Port-Valais;23
Neftenbach;1
Rüegsau;2
Saint-Brais;26
Ausserberg;23
Cama;18
Sonceboz-Sombeval;2
Ennetmoos;7
Ursy;10
Saint-Maurice;23
Wiler (Lötschen);23
Nottwil;3
Lyss;2
Tavannes;2
Maur;1
Porrentruy;26
Cortébert;2
Radelfingen;2
Bowil;2
Regensdorf;1
Kirchdorf (BE);2
Dalpe;21
Wattenwil;2
Egg;1
Uzwil;17
Laufenburg;19
Amlikon-Bissegg;20
Affeltrangen;20
Bonaduz;18
Bösingen;10
Wolhusen;3
Vérossaz;23
Scharans;18
Tévenon;22
Staldenried;23
Grächen;23
Stocken-Höfen;2
Russikon;1
Lavey-Morcles;22
La Ferrière;2
Dürrenroth;2
Marthalen;1
Lütisburg;17
Eischoll;23
Oberuzwil;17
Fläsch;18
Volketswil;1
Steg-Hohtenn;23
Uesslingen-Buch;20
Unterseen;2
Lens;23
Degersheim;17
Bellwald;23
Hägendorf;11
Meggen;3
Zell (LU);3
Saicourt;2
Leuggern;19
Herdern;20
Bure;26
Brittnau;19
Les Genevez (JU);26
Dübendorf;1
Hausen am Albis;1
Bonfol;26
Courtételle;26
Bourrignon;26
Yverdon-les-Bains;22
Merenschwand;19
Ramsen;14
Schmitten (FR);10
Soubey;26
Cormoret;2
Sauge;2
La Verrerie;10
Bürchen;23
Yvonand;22
Felsberg;18
Embd;23
Rhäzüns;18
Steffisburg;2
Wald (BE);2
Echichens;22
Wünnewil-Flamatt;10
Galgenen;5
Lostorf;11
Linden;2
Locarno;21
Eschenbach (LU);3
Visp;23
Wilderswil;2
Vaulion;22
Pfyn;20
Berg (TG);20
Ossingen;1
Bovernier;23
Vex;23
Mettmenstetten;1
Welschenrohr;11
Zell (ZH);1
Hittnau;1
Bernex;25
Aedermannsdorf;11
Stadel;1
Apples;22
Oftringen;19
Isone;21
La Côte-aux-Fées;24
Varen;23
Weisslingen;1
Konolfingen;2
Embrach;1
Lengnau (AG);19
Oberhelfenschwil;17
Gaiserwald;17
Renan (BE);2
Büren an der Aare;2
Beggingen;14
Ettiswil;3
Dorénaz;23
Gingins;22
Densbüren;19
Lignières;24
Hauptwil-Gottshaus;20
Wohlen (AG);19
Develier;26
Baden;19
Liesberg;13
Schongau;3
Rümlang;1
Oberbalm;2
Lajoux (JU);26
Sirnach;20
Küsnacht (ZH);1
Boécourt;26
Muri (AG);19
Aarau;19
Lucens;22
Saint-George;22
Birwinken;20
Kerzers;10
Biberist;11
Schinznach;19
Lütschental;2
Lac Léman (VD);22
Wäldi;20
Ufhusen;3
Zihlschlacht-Sitterdorf;20
Collonges;23
Yvorne;22
Bettlach;11
Erlen;20
Hombrechtikon;1
Mergoscia;21
Ascona;21
Corcelles-près-Payerne;22
Wuppenau;20
Ochlenberg;2
Oensingen;11
Orbe;22
Buochs;7
Roggwil (TG);20
Stallikon;1
Lindau;1
Eschenz;20
Marchissy;22
Pont-en-Ogoz;10
Hauterive (FR);10
Bichelsee-Balterswil;20
Kirchlindach;2
Meilen;1
Villmergen;19
Oberdorf (SO);11
Endingen;19
Glattfelden;1
Küttigen;19
Messen;11
Montilliez;22
Hauteville;10
Rothrist;19
Rickenbach (LU);3
Steinen;5
Castel San Pietro;21
Wagenhausen;20
Boswil;19
Vitznau;3
Wittenbach;17
Les Planchettes;24
Bürglen (TG);20
Wyssachen;2
Kippel;23
Le Bémont (JU);26
Sempach;3
Oberburg;2
Coeuve;26
Bubikon;1
Hüttlingen;20
Wichtrach;2
Terre di Pedemonte;21
Bischofszell;20
Kreuzlingen;20
Tägerwilen;20
Reichenburg;5
Les Brenets;24
Affoltern im Emmental;2
Olten;11
Flawil;17
Gänsbrunnen;11
Birmensdorf (ZH);1
Treyvaux;10
Locarno;21
Malans;18
Laufen;13
Misery-Courtion;10
Concise;22
Zeiningen;19
Salgesch;23
Bremgarten (AG);19
Neunforn;20
Jussy;25
Schmitten (GR);18
Eriswil;2
Jegenstorf;2
Lenzburg;19
Beinwil (Freiamt);19
Niederhasli;1
Reutigen;2
Matzendorf;11
Wittnau;19
Diepoldsau;17
Villigen;19
Riemenstalden;5
Rue;10
Bärschwil;11
Twann-Tüscherz;2
Eptingen;13
Buseno;18
Vaduz;
Pampigny;22
Jorat-Mézières;22
Stans;7
Zofingen;19
Fiesch;23
Magden;19
Zizers;18
Wangen (SZ);5
Jonschwil;17
Mollens (VD);22
Valsot;18
Kappelen;2
Muriaux;26
Illgau;5
Oberkirch;3
Kradolf-Schönenberg;20
Rothenfluh;13
Schönholzerswilen;20
Romont (FR);10
Landquart;18
Riehen;12
Langrickenbach;20
Les Breuleux;26
Bubendorf;13
Corbières;10
Pratteln;13
Goumoëns;22
Collonge-Bellerive;25
Rafz;1
Lignerolle;22
Suhr;19
Alle;26
Wettingen;19
Affoltern am Albis;1
Chéserex;22
Wildberg;1
Oberthal;2
Jenins;18
Gampelen;2
Stalden (VS);23
Ermatingen;20
Vuadens;10
Cornol;26
Vétroz;23
Arni (BE);2
Guttet-Feschel;23
Noville;22
Leissigen;2
Balzers;
Seengen;19
Chardonne;22
Muolen;17
Inwil;3
Nunningen;11
Le Landeron;24
La Brillaz;10
Hochdorf;3
Kleinandelfingen;1
Les Montets;10
Leuzigen;2
Melchnau;2
Landiswil;2
Oberembrach;1
Meikirch;2
Dürnten;1
Buch am Irchel;1
Mezzovico-Vira;21
Altdorf (UR);4
Grandcour;22
Bätterkinden;2
Torny;10
Uetendorf;2
Flaach;1
Gipf-Oberfrick;19
Vordemwald;19
Vaulruz;10
Lumino;21
Diessenhofen;20
Röschenz;13
Rüti (ZH);1
Nürensdorf;1
Broc;10
Brienzwiler;2
Trogen;15
Arisdorf;13
Märstetten;20
Frick;19
Thusis;18
Meyrin;25
Galmiz;10
Thalheim (AG);19
Aarwangen;2
Cugy (FR);10
Pohlern;2
