Gemeindename;Rohe Heiratssziffer
Orpund;4.8
Port;5.9
Safnern;0.5
Scheuren;0.0
Schwadernau;1.5
Studen (BE);5.2
Sutz-Lattrigen;2.9
Täuffelen;2.5
Walperswil;5.0
Worben;4.4
Twann-Tüscherz;3.5
Därstetten;3.5
Diemtigen;2.7
Erlenbach im Simmental;4.6
Oberwil im Simmental;3.8
Reutigen;6.1
Spiez;4.5
Wimmis;3.3
Stocken-Höfen;5.0
Guttannen;0.0
Hasliberg;7.6
Innertkirchen;3.7
Meiringen;3.6
Schattenhalb;1.7
Boltigen;4.7
Lenk;3.8
St. Stephan;6.0
Zweisimmen;3.3
Gsteig;9.2
Lauenen;4.8
Saanen;3.8
Guggisberg;1.9
Rüschegg;3.1
Schwarzenburg;4.5
Belp;4.8
Burgistein;4.6
Gerzensee;5.0
Gurzelen;3.6
Jaberg;7.4
Kaufdorf;2.8
Kehrsatz;6.6
Kirchdorf (BE);2.2
Kirchenthurnen;0.0
Lohnstorf;0.0
Mühlethurnen;2.9
Niedermuhlern;6.2
Riggisberg;5.7
Rüeggisberg;3.9
Rümligen;2.3
Seftigen;3.2
Toffen;5.5
Uttigen;4.0
Wattenwil;3.5
Wald (BE);1.7
Eggiwil;2.4
Langnau im Emmental;5.5
Lauperswil;4.6
Röthenbach im Emmental;4.2
Rüderswil;5.5
Schangnau;2.2
Signau;4.1
Trub;3.0
Trubschachen;3.5
Amsoldingen;4.9
Blumenstein;2.5
Buchholterberg;3.9
Eriz;2.0
Fahrni;6.3
Heiligenschwendi;7.3
Heimberg;4.5
Hilterfingen;4.4
Homberg;1.9
Horrenbach-Buchen;4.3
Oberhofen am Thunersee;5.4
Oberlangenegg;4.2
Pohlern;7.8
Schwendibach;8.1
Sigriswil;5.7
Steffisburg;5.2
Teuffenthal (BE);0.0
Thierachern;2.1
Thun;5.5
Uebeschi;4.4
Uetendorf;3.8
Unterlangenegg;5.1
Wachseldorn;8.6
Zwieselberg;9.3
Forst-Längenbühl;6.4
Affoltern im Emmental;7.1
Dürrenroth;6.6
Eriswil;7.8
Huttwil;4.3
Lützelflüh;4.4
Rüegsau;5.6
Sumiswald;2.8
Trachselwald;4.1
Walterswil (BE);1.8
Wyssachen;6.1
Attiswil;2.8
Berken;0.0
Bettenhausen;3.1
Farnern;4.8
Graben;9.0
Heimenhausen;8.1
Herzogenbuchsee;4.2
Inkwil;4.9
Niederbipp;5.8
Niederönz;3.6
Oberbipp;6.4
Ochlenberg;7.1
Rumisberg;2.1
Seeberg;4.5
Thörigen;9.8
Walliswil bei Niederbipp;4.6
Walliswil bei Wangen;5.0
Wangen an der Aare;5.2
Wangenried;2.3
Wiedlisbach;1.7
Wolfisberg;0.0
Doppleschwand;2.6
Entlebuch;6.6
Flühli;2.1
Hasle (LU);6.9
Romoos;7.5
Schüpfheim;3.1
Werthenstein;5.3
Escholzmatt-Marbach;3.9
Aesch (LU);2.6
Altwis;2.4
Ballwil;4.3
Emmen;5.4
Ermensee;4.1
Eschenbach (LU);3.6
Hitzkirch;4.6
Hochdorf;4.8
Hohenrain;3.6
Inwil;4.8
Rain;7.4
Römerswil;6.8
Rothenburg;3.3
Schongau;1.9
Adligenswil;2.8
Buchrain;7.0
Dierikon;4.0
Ebikon;5.9
Gisikon;3.1
Greppen;2.8
Honau;2.7
Horw;4.6
Kriens;5.0
Luzern;5.8
Malters;4.0
Meggen;3.7
Meierskappel;3.6
Root;4.9
Schwarzenberg;5.3
Udligenswil;4.4
Vitznau;1.5
Weggis;4.1
Beromünster;4.6
Büron;3.7
Buttisholz;3.7
Eich;4.3
Geuensee;3.8
Grosswangen;4.0
Hildisrieden;7.1
Knutwil;5.1
Mauensee;4.8
Neuenkirch;5.1
Nottwil;5.8
Oberkirch;8.6
Rickenbach (LU);4.6
Ruswil;5.2
Schenkon;4.9
Schlierbach;3.5
Sempach;5.8
Sursee;6.0
Triengen;2.8
Wolhusen;4.8
Alberswil;3.1
Altbüron;3.9
Altishofen;2.6
Dagmersellen;5.6
Ebersecken;5.1
Egolzwil;7.5
Ettiswil;5.5
Fischbach;1.4
Gettnau;7.9
Grossdietwil;0.0
Hergiswil bei Willisau;3.2
Luthern;3.9
Menznau;5.2
Nebikon;4.6
Pfaffnau;3.0
Reiden;4.0
Roggliswil;2.9
Schötz;4.4
Ufhusen;3.3
Wauwil;6.5
Wikon;5.3
Zell (LU);5.0
Willisau;4.1
Altdorf (UR);5.7
Andermatt;6.6
Attinghausen;1.8
Bauen;0.0
Bürglen (UR);4.2
Erstfeld;3.7
Flüelen;8.5
Göschenen;2.2
Gurtnellen;1.8
Hospental;0.0
Isenthal;8.0
Realp;6.8
Schattdorf;4.7
Seedorf (UR);3.9
Seelisberg;5.9
Silenen;2.5
Sisikon;2.7
Spiringen;7.2
Unterschächen;2.8
Wassen;2.3
Einsiedeln;4.1
Gersau;4.4
Feusisberg;4.9
Freienbach;5.2
Wollerau;6.2
Küssnacht (SZ);5.0
Altendorf;6.9
Galgenen;5.8
Innerthal;0.0
Lachen;6.6
Reichenburg;5.3
Schübelbach;5.5
Tuggen;3.4
Vorderthal;8.8
Wangen (SZ);4.8
Alpthal;4.9
Arth;5.8
Illgau;3.8
Ingenbohl;5.6
Lauerz;3.7
Morschach;3.6
Muotathal;3.7
Oberiberg;3.4
Riemenstalden;0.0
Rothenthurm;5.5
Sattel;4.6
Schwyz;4.6
Steinen;3.0
Steinerberg;1.1
Unteriberg;2.9
Alpnach;6.8
Engelberg;2.9
Giswil;4.4
Kerns;3.8
Lungern;2.8
Sachseln;4.1
Sarnen;5.2
Beckenried;4.2
Buochs;7.0
Dallenwil;2.7
Emmetten;7.2
Ennetbürgen;4.7
Ennetmoos;5.2
Hergiswil (NW);5.8
Oberdorf (NW);5.4
Stans;5.4
Stansstad;6.1
Wolfenschiessen;5.2
Glarus Nord;4.7
Glarus Süd;2.9
Glarus;4.6
Baar;4.9
Cham;5.6
Hünenberg;5.9
Menzingen;4.2
Neuheim;5.4
Oberägeri;4.1
Risch;5.3
Steinhausen;5.1
Unterägeri;4.9
Walchwil;2.5
Zug;5.3
Châtillon (FR);2.2
Cheiry;2.5
Cugy (FR);3.5
Fétigny;1.0
Gletterens;3.8
Lully (FR);0.9
Ménières;7.3
Montagny (FR);1.6
Nuvilly;0.0
Prévondavaux;0.0
Saint-Aubin (FR);2.3
Sévaz;0.0
Surpierre;5.6
Vallon;0.0
Les Montets;4.2
Delley-Portalban;5.5
Belmont-Broye;5.2
Estavayer;3.9
Cheyres-Châbles;3.6
Auboranges;14.1
Billens-Hennens;5.4
Chapelle (Glâne);3.6
Le Châtelard;0.0
Châtonnaye;6.1
Ecublens (FR);3.0
Grangettes;10.4
Massonnens;7.7
Mézières (FR);1.9
Montet (Glâne);0.0
Romont (FR);2.1
Rue;4.7
Siviriez;4.1
Ursy;2.0
Villaz-Saint-Pierre;0.8
Vuisternens-devant-Romont;2.6
Villorsonnens;3.7
Torny;2.2
La Folliaz;2.0
Haut-Intyamon;3.9
Pont-en-Ogoz;3.3
Botterens;5.3
Broc;2.6
Bulle;5.4
Châtel-sur-Montsalvens;21.4
Corbières;3.5
Crésuz;14.8
Echarlens;6.2
Grandvillard;2.4
Gruyères;4.5
Hauteville;9.1
Jaun;4.5
Marsens;2.1
Morlon;6.8
Le Pâquier (FR);6.5
Pont-la-Ville;3.4
Riaz;5.9
La Roche;4.2
Sâles;4.2
Sorens;3.7
Vaulruz;3.8
Vuadens;3.9
Bas-Intyamon;4.4
Val-de-Charmey;6.1
Arconciel;3.3
Autigny;1.3
Avry;5.9
Belfaux;3.0
Chénens;2.4
Corminboeuf;3.2
Corserey;9.6
Cottens (FR);4.0
Ependes (FR);1.8
Ferpicloz;3.6
Fribourg;4.7
Givisiez;6.0
Granges-Paccot;4.4
Grolley;2.6
Marly;3.1
Matran;5.2
Neyruz (FR);4.6
Noréaz;1.5
Pierrafortscha;19.9
Ponthaux;6.9
Le Mouret;3.2
Prez-vers-Noréaz;5.6
Senèdes;0.0
Treyvaux;3.5
Villars-sur-Glâne;4.4
Villarsel-sur-Marly;12.2
Hauterive (FR);4.4
La Brillaz;5.5
La Sonnaz;6.3
Gibloux;3.9
Courgevaux;0.7
Courtepin;3.3
Cressier (FR);3.2
Fräschels;0.0
Galmiz;3.0
Gempenach;3.4
Greng;0.0
Gurmels;3.1
Kerzers;4.6
Kleinbösingen;4.6
Meyriez;5.2
Misery-Courtion;3.6
Muntelier;6.2
Murten;4.3
Ried bei Kerzers;2.6
Ulmiz;7.0
Mont-Vully;3.9
Alterswil;5.4
Brünisried;3.1
Düdingen;3.1
Giffers;3.8
Bösingen;4.1
Heitenried;7.3
Plaffeien;2.8
Plasselb;1.9
Rechthalten;5.6
St. Antoni;6.9
St. Silvester;4.1
St. Ursen;3.0
Schmitten (FR);3.4
Tafers;2.4
Tentlingen;6.8
Ueberstorf;3.0
Wünnewil-Flamatt;4.2
Attalens;3.5
Bossonnens;2.0
Châtel-Saint-Denis;2.9
Granges (Veveyse);5.8
Remaufens;5.6
Saint-Martin (FR);4.9
Semsales;1.4
Le Flon;6.7
La Verrerie;2.6
Egerkingen;7.4
Härkingen;6.3
Kestenholz;3.9
Neuendorf;6.1
Niederbuchsiten;8.7
Oberbuchsiten;5.4
Oensingen;6.5
Wolfwil;5.1
Aedermannsdorf;3.5
Balsthal;3.8
Gänsbrunnen;0.0
Herbetswil;3.7
Holderbank (SO);7.4
Laupersdorf;5.2
Matzendorf;5.3
Mümliswil-Ramiswil;1.6
Welschenrohr;0.9
Biezwil;3.0
Lüterkofen-Ichertswil;5.1
Lüterswil-Gächliwil;0.0
Messen;4.7
Schnottwil;10.9
Unterramsern;0.0
Lüsslingen-Nennigkofen;2.8
Buchegg;5.5
Bättwil;4.2
Büren (SO);2.0
Dornach;3.9
Gempen;4.5
Hochwald;2.3
Hofstetten-Flüh;4.1
Metzerlen-Mariastein;3.2
Nuglar-St. Pantaleon;0.7
Rodersdorf;1.5
Seewen;2.0
Witterswil;2.7
Hauenstein-Ifenthal;6.5
Kienberg;1.9
Lostorf;3.5
Niedergösgen;5.2
Obergösgen;5.9
Rohr (SO);0.0
Stüsslingen;7.5
Trimbach;3.0
Winznau;4.3
Wisen (SO);2.5
Erlinsbach (SO);2.9
Aeschi (SO);5.8
Biberist;4.2
Bolken;6.8
Deitingen;3.1
Derendingen;5.0
Etziken;5.9
Gerlafingen;5.5
Halten;4.6
Horriwil;2.3
Hüniken;17.7
Kriegstetten;7.7
Lohn-Ammannsegg;6.8
Luterbach;4.3
Obergerlafingen;1.7
Oekingen;3.6
Recherswil;4.6
Subingen;4.1
Zuchwil;5.3
Drei Höfe;4.1
Balm bei Günsberg;14.7
Bellach;4.2
Bettlach;4.7
Feldbrunnen-St. Niklaus;5.1
Flumenthal;4.2
Grenchen;4.7
Günsberg;6.8
Hubersdorf;0.0
Kammersrohr;33.9
Langendorf;2.7
Lommiswil;4.0
Oberdorf (SO);4.7
Riedholz;4.3
Rüttenen;4.0
Selzach;6.7
Boningen;5.2
Däniken;4.3
Dulliken;4.1
Eppenberg-Wöschnau;9.2
Fulenbach;4.5
Gretzenbach;3.3
Gunzgen;4.8
Hägendorf;4.8
Kappel (SO);4.4
Olten;7.6
Rickenbach (SO);6.4
Schönenwerd;3.7
Starrkirch-Wil;2.9
Walterswil (SO);7.2
Wangen bei Olten;3.9
Solothurn;6.7
Bärschwil;3.7
Beinwil (SO);0.0
Breitenbach;3.9
Büsserach;4.4
Erschwil;4.4
Fehren;1.7
Grindel;2.0
Himmelried;2.2
Kleinlützel;3.2
Meltingen;1.5
Nunningen;3.2
Zullwil;1.5
Basel;5.6
Bettingen;0.9
Riehen;3.3
Aesch (BL);3.8
Allschwil;6.1
Arlesheim;3.2
Biel-Benken;4.7
Binningen;5.1
Birsfelden;5.0
Bottmingen;4.0
Ettingen;5.1
Münchenstein;4.0
Muttenz;3.9
Oberwil (BL);5.6
Pfeffingen;1.7
Reinach (BL);3.4
Schönenbuch;4.3
Therwil;3.8
Blauen;5.8
Brislach;4.9
Burg im Leimental;0.0
Dittingen;1.4
Duggingen;5.1
Grellingen;3.3
Laufen;4.1
Liesberg;4.4
Nenzlingen;2.3
Roggenburg;3.6
Röschenz;4.9
Wahlen;4.2
Zwingen;3.0
Arisdorf;1.8
Augst;8.0
Bubendorf;4.6
Frenkendorf;5.2
Füllinsdorf;3.2
Giebenach;3.9
Hersberg;3.1
Lausen;4.1
Liestal;5.3
Lupsingen;1.4
Pratteln;6.2
Ramlinsburg;6.9
Seltisberg;1.5
Ziefen;3.2
Anwil;0.0
Böckten;12.5
Buckten;1.4
Buus;3.9
Diepflingen;8.1
Gelterkinden;4.5
Häfelfingen;3.8
Hemmiken;0.0
Itingen;1.9
Känerkinden;1.9
Kilchberg (BL);0.0
Läufelfingen;0.8
Maisprach;3.2
Nusshof;0.0
Oltingen;4.2
Ormalingen;3.2
Rickenbach (BL);3.3
Rothenfluh;3.9
Rümlingen;5.1
Rünenberg;2.6
Sissach;6.6
Tecknau;5.8
Tenniken;4.3
Thürnen;4.3
Wenslingen;1.4
Wintersingen;11.5
Wittinsburg;11.7
Zeglingen;4.1
Zunzgen;5.2
Arboldswil;1.8
Bennwil;1.5
Bretzwil;2.6
Diegten;3.0
Eptingen;3.8
Hölstein;2.8
Lampenberg;4.0
Langenbruck;3.1
Lauwil;0.0
Liedertswil;0.0
Niederdorf;3.3
Oberdorf (BL);2.9
Reigoldswil;5.0
Titterten;4.9
Waldenburg;1.7
Gächlingen;3.5
Löhningen;4.1
Neunkirch;3.7
Büttenhardt;8.0
Dörflingen;4.0
Lohn (SH);3.9
Stetten (SH);2.2
Thayngen;4.4
Bargen (SH);3.3
Beringen;5.6
Buchberg;3.6
Merishausen;2.3
Neuhausen am Rheinfall;5.1
Rüdlingen;4.0
Schaffhausen;5.2
Beggingen;6.2
Schleitheim;4.2
Siblingen;4.7
Buch (SH);3.2
Hemishofen;2.1
Ramsen;2.7
Stein am Rhein;3.2
Hallau;3.3
Oberhallau;2.3
Trasadingen;6.7
Wilchingen;4.6
Herisau;5.2
Hundwil;3.1
Schönengrund;0.0
Schwellbrunn;3.2
Stein (AR);4.2
Urnäsch;2.2
Waldstatt;5.0
Bühler;3.4
Gais;4.2
Speicher;5.6
Teufen (AR);8.2
Trogen;3.5
Grub (AR);2.9
Heiden;3.3
Lutzenberg;2.4
Rehetobel;2.8
Reute (AR);2.9
Wald (AR);7.0
Walzenhausen;6.0
Wolfhalden;4.9
Appenzell;11.2
Gonten;0.0
Rüte;0.0
Schlatt-Haslen;0.0
Schwende;0.0
Oberegg;3.1
Häggenschwil;3.0
Muolen;5.8
St. Gallen;5.6
Wittenbach;4.1
Berg (SG);4.8
Eggersriet;3.5
Goldach;4.2
Mörschwil;5.0
Rorschach;3.6
Rorschacherberg;5.2
Steinach;5.0
Tübach;4.9
Untereggen;0.9
Au (SG);6.3
Balgach;3.5
Berneck;5.3
Diepoldsau;6.3
Rheineck;4.9
St. Margrethen;3.6
Thal;3.7
Widnau;5.0
Altstätten;3.6
Eichberg;5.9
Marbach (SG);5.3
Oberriet (SG);5.7
Rebstein;4.2
Rüthi (SG);5.1
Buchs (SG);5.8
Gams;3.6
Grabs;4.6
Sennwald;5.3
Sevelen;5.4
Wartau;4.0
Bad Ragaz;6.1
Flums;4.3
Mels;4.9
Pfäfers;1.9
Quarten;3.8
Sargans;5.6
Vilters-Wangs;3.8
Walenstadt;6.1
Amden;1.7
Benken (SG);5.7
Kaltbrunn;5.4
Schänis;5.0
Weesen;3.7
Schmerikon;7.2
Uznach;3.0
Rapperswil-Jona;5.2
Gommiswald;3.6
Eschenbach (SG);3.6
Ebnat-Kappel;4.0
Wildhaus-Alt St. Johann;4.1
Nesslau;2.5
Hemberg;2.2
Lichtensteig;4.2
Oberhelfenschwil;4.7
Neckertal;5.2
Wattwil;4.6
Kirchberg (SG);3.6
Lütisburg;5.8
Mosnang;4.2
Bütschwil-Ganterschwil;5.3
Degersheim;5.7
Flawil;4.3
Jonschwil;4.7
Oberuzwil;6.7
Uzwil;5.6
Niederbüren;5.2
Niederhelfenschwil;4.5
Oberbüren;6.5
Zuzwil (SG);4.0
Wil (SG);6.2
Andwil (SG);2.6
Gaiserwald;5.1
Gossau (SG);5.0
Waldkirch;4.0
Vaz/Obervaz;3.3
Lantsch/Lenz;5.5
Schmitten (GR);8.1
Albula/Alvra;1.5
Surses;4.7
Bergün Filisur;2.1
Brusio;2.7
Poschiavo;3.1
Falera;4.9
Laax;5.7
Sagogn;1.4
Schluein;4.8
Vals;6.9
Lumnezia;2.4
Ilanz/Glion;2.5
Fürstenau;8.6
Rothenbrunnen;6.5
Scharans;8.6
Sils im Domleschg;5.4
Cazis;3.7
Flerden;0.0
Masein;6.3
Thusis;2.9
Tschappina;15.6
Urmein;6.8
Safiental;7.8
