Gemeindename;im 3. Sektor
Airolo;105
Bedretto;20
Bodio;49
Dalpe;10
Faido;168
Giornico;46
Personico;11
Pollegio;34
Prato (Leventina);20
Quinto;76
Ascona;609
Brione (Verzasca);16
Brione sopra Minusio;38
Brissago;155
Corippo;X
Frasco;5
Gordola;248
Lavertezzo;100
Locarno;1629
Losone;418
Mergoscia;17
Minusio;415
Muralto;342
Orselina;66
Ronco sopra Ascona;54
Sonogno;12
Tenero-Contra;179
Vogorno;14
Onsernone;69
Cugnasco-Gerra;122
Agno;416
Aranno;10
Arogno;68
Astano;24
Bedano;99
Bedigliora;27
Bioggio;262
Bissone;64
Brusino Arsizio;34
Cademario;30
Cadempino;150
Canobbio;123
Caslano;248
Comano;123
Croglio;50
Cureglia;88
Curio;29
Grancia;112
Gravesano;145
Lamone;189
Lugano;9077
Magliaso;113
Manno;319
Maroggia;61
Massagno;403
Melano;101
Melide;166
Mezzovico-Vira;131
Miglieglia;18
Monteggio;71
Morcote;61
Muzzano;76
Neggio;24
Novaggio;54
Origlio;95
Paradiso;621
Ponte Capriasca;80
Ponte Tresa;97
Porza;128
Pura;71
Rovio;40
Savosa;207
Sessa;39
Sorengo;152
Capriasca;343
Torricella-Taverne;217
Vernate;34
Vezia;192
Vico Morcote;32
Collina d'Oro;321
Alto Malcantone;71
Monteceneri;291
Balerna;450
Castel San Pietro;122
Chiasso;1837
Coldrerio;131
Mendrisio;1610
Morbio Inferiore;266
Novazzano;184
Riva San Vitale;159
Stabio;418
Vacallo;176
Breggia;78
Biasca;405
Riviera;153
Bosco/Gurin;13
Campo (Vallemaggia);7
Cerentino;5
Cevio;91
Linescio;X
Maggia;164
Lavizzara;34
Avegno Gordevio;84
Terre di Pedemonte;175
Centovalli;86
Gambarogno;389
Aigle;628
Bex;366
Chessel;14
Corbeyrier;15
Gryon;98
Lavey-Morcles;27
Leysin;174
Noville;55
Ollon;417
Ormont-Dessous;68
Ormont-Dessus;153
Rennaz;45
Roche (VD);52
Villeneuve (VD);283
Yvorne;66
Apples;78
Aubonne;309
Ballens;10
Berolle;11
Bière;58
Bougy-Villars;23
Féchy;41
Gimel;71
Longirod;20
Marchissy;20
Mollens (VD);13
Montherod;15
Saint-George;57
Saint-Livres;28
Saint-Oyens;11
Saubraz;13
Avenches;245
Cudrefin;83
Faoug;34
Vully-les-Lacs;114
Bettens;21
Bournens;16
Boussens;32
La Chaux (Cossonay);20
Chavannes-le-Veyron;6
Chevilly;12
Cossonay;198
Cottens (VD);25
Cuarnens;14
Daillens;35
Dizy;10
Eclépens;49
Ferreyres;10
Gollion;32
Grancy;20
L'Isle;61
Lussery-Villars;16
Mauraz;8
Mex (VD);23
Moiry;11
Mont-la-Ville;19
Montricher;44
Orny;13
Pampigny;47
Penthalaz;146
Penthaz;66
Pompaples;52
La Sarraz;147
Senarclens;12
Sévery;9
Sullens;29
Vufflens-la-Ville;62
Assens;56
Bercher;59
Bioley-Orjulaz;22
Bottens;40
Bretigny-sur-Morrens;32
Cugy (VD);142
Echallens;371
Essertines-sur-Yverdon;38
Etagnières;59
Fey;22
Froideville;86
Morrens (VD);46
Oulens-sous-Echallens;25
Pailly;16
Penthéréaz;12
Poliez-Pittet;29
Rueyres;5
Saint-Barthélemy (VD);29
Villars-le-Terroir;38
Vuarrens;40
Montilliez;56
Goumoëns;40
Bonvillars;17
Bullet;35
Champagne;46
Concise;49
Corcelles-près-Concise;11
Fiez;11
Fontaines-sur-Grandson;5
Giez;23
Grandevent;X
Grandson;164
Mauborget;8
Mutrux;7
Novalles;6
Onnens (VD);27
Provence;13
Sainte-Croix;217
Tévenon;26
Belmont-sur-Lausanne;143
Cheseaux-sur-Lausanne;168
Crissier;561
Epalinges;421
Jouxtens-Mézery;47
Lausanne;11505
Le Mont-sur-Lausanne;557
Paudex;134
Prilly;473
Pully;1008
Renens (VD);969
Romanel-sur-Lausanne;167
Chexbres;128
Forel (Lavaux);99
Lutry;622
Puidoux;184
Rivaz;15
Saint-Saphorin (Lavaux);25
Savigny;185
Bourg-en-Lavaux;321
Aclens;59
Bremblens;35
Buchillon;27
Bussigny;477
Bussy-Chardonney;17
Chavannes-près-Renens;262
Chigny;9
Clarmont;8
Denens;24
Denges;97
Echandens;158
Echichens;98
Ecublens (VD);683
Etoy;217
Lavigny;43
Lonay;222
Lully (VD);54
Lussy-sur-Morges;37
Morges;1208
Préverenges;231
Reverolle;25
Romanel-sur-Morges;59
Saint-Prex;255
Saint-Sulpice (VD);247
Tolochenaz;96
Vaux-sur-Morges;8
Villars-Sainte-Croix;81
Villars-sous-Yens;23
Vufflens-le-Château;39
Vullierens;23
Yens;52
Boulens;11
Bussy-sur-Moudon;6
Chavannes-sur-Moudon;5
Curtilles;17
Dompierre (VD);11
Hermenches;10
Lovatens;6
Lucens;143
Moudon;305
Ogens;11
Prévonloup;6
Rossenges;7
Syens;6
Villars-le-Comte;8
Vucherens;29
Montanaire;102
Arnex-sur-Nyon;11
Arzier-Le Muids;126
Bassins;50
Begnins;94
Bogis-Bossey;38
Borex;39
Chavannes-de-Bogis;116
Chavannes-des-Bois;23
Chéserex;51
Coinsins;38
Commugny;109
Coppet;197
Crans-près-Céligny;104
Crassier;51
Duillier;58
Eysins;137
Founex;135
Genolier;139
Gingins;60
Givrins;43
Gland;815
Grens;16
Mies;142
Nyon;1960
Prangins;144
La Rippe;51
Saint-Cergue;126
Signy-Avenex;70
Tannay;73
Trélex;61
Le Vaud;47
Vich;77
L'Abergement;8
Agiez;10
Arnex-sur-Orbe;14
Ballaigues;32
Baulmes;51
Bavois;30
Bofflens;8
Bretonnières;8
Chavornay;209
Les Clées;11
Croy;18
Juriens;17
Lignerolle;19
Montcherand;15
Orbe;371
La Praz;6
Premier;7
Rances;20
Romainmôtier-Envy;36
Sergey;5
Valeyres-sous-Rances;25
Vallorbe;153
Vaulion;25
Vuiteboeuf;29
Corcelles-le-Jorat;12
Essertes;11
Maracon;21
Montpreveyres;26
Ropraz;29
Servion;120
Vulliens;22
Jorat-Menthue;47
Oron;267
Jorat-Mézières;156
Champtauroz;5
Chevroux;14
Corcelles-près-Payerne;82
Grandcour;25
Henniez;12
Missy;14
Payerne;609
Trey;6
Treytorrens (Payerne);X
Villarzel;14
Valbroye;135
Château-d'Oex;247
Rossinière;31
Rougemont;56
Allaman;44
Bursinel;23
Bursins;36
Burtigny;17
Dully;27
Essertines-sur-Rolle;21
Gilly;40
Luins;30
Mont-sur-Rolle;83
Perroy;75
Rolle;484
Tartegnin;12
Vinzel;21
L'Abbaye;57
Le Chenit;238
Le Lieu;39
Blonay;262
Chardonne;125
Corseaux;113
Corsier-sur-Vevey;134
Jongny;57
Montreux;1684
Saint-Légier-La Chiésaz;251
La Tour-de-Peilz;486
Vevey;1713
Veytaux;46
Belmont-sur-Yverdon;10
Bioley-Magnoux;5
Chamblon;25
Champvent;28
Chavannes-le-Chêne;16
Chêne-Pâquier;X
Cheseaux-Noréaz;24
Cronay;12
Cuarny;11
Démoret;6
Donneloye;27
Ependes (VD);18
Mathod;30
Molondin;11
Montagny-près-Yverdon;117
Oppens;9
Orges;14
Orzens;7
Pomy;20
Rovray;X
Suchy;13
Suscévaz;5
Treycovagnes;22
Ursins;5
Valeyres-sous-Montagny;17
Valeyres-sous-Ursins;8
Villars-Epeney;7
Vugelles-La Mothe;5
Yverdon-les-Bains;1848
Yvonand;139
Brig-Glis;930
Eggerberg;10
Naters;360
Ried-Brig;75
Simplon;21
Termen;33
Zwischbergen;9
Ardon;122
Chamoson;169
Conthey;500
Nendaz;346
Vétroz;219
Bagnes;803
Bourg-Saint-Pierre;18
Liddes;40
Orsières;193
Sembrancher;67
Vollèges;82
Bellwald;33
Binn;18
Ernen;41
Fiesch;100
Fieschertal;18
Lax;18
Obergoms;58
Goms;82
Ayent;195
Evolène;144
Hérémence;66
Saint-Martin (VS);32
Vex;107
Mont-Noble;65
Agarn;32
Albinen;15
Ergisch;9
Inden;5
Leuk;212
Leukerbad;144
Oberems;8
Salgesch;88
Varen;28
Guttet-Feschel;18
Gampel-Bratsch;104
Turtmann-Unterems;58
Bovernier;33
Charrat;90
Fully;340
Isérables;29
Leytron;152
Martigny;1535
Martigny-Combe;96
Riddes;145
Saillon;109
Saxon;248
Trient;16
Champéry;132
Collombey-Muraz;399
Monthey;1068
Port-Valais;190
Saint-Gingolph;50
Troistorrents;224
Val-d'Illiez;112
Vionnaz;121
Vouvry;162
Bister;X
Bitsch;44
Grengiols;19
Riederalp;55
Ausserberg;26
Blatten;14
Bürchen;30
Eischoll;15
Ferden;12
Kippel;23
Niedergesteln;23
Raron;98
Unterbäch;24
Wiler (Lötschen);32
Mörel-Filet;43
Steg-Hohtenn;76
Bettmeralp;72
Collonges;23
Dorénaz;35
Evionnaz;53
Finhaut;35
Massongex;63
Saint-Maurice;265
Salvan;82
Vernayaz;78
Vérossaz;31
Chalais;162
Chippis;74
Grône;109
Icogne;33
Lens;307
Miège;50
Saint-Léonard;90
Sierre;1211
Venthône;49
Veyras;47
Anniviers;248
Crans-Montana;659
Arbaz;56
Grimisuat;129
Savièse;292
Sion;3254
Veysonnaz;50
Baltschieder;41
Eisten;X
Embd;5
Grächen;99
Lalden;14
Randa;17
Saas-Almagell;44
Saas-Balen;16
Saas-Fee;236
Saas-Grund;95
St. Niklaus;95
Stalden (VS);46
Staldenried;18
Täsch;51
Törbel;15
Visp;647
Visperterminen;47
Zeneggen;11
Zermatt;743
Boudry;243
Corcelles-Cormondrèche;208
Cortaillod;203
Peseux;287
Rochefort;44
Milvignes;416
La Grande Béroche;489
La Chaux-de-Fonds;2108
Les Planchettes;7
La Sagne;38
Les Brenets;51
La Brévine;37
Brot-Plamboz;12
Le Cerneux-Péquignot;15
La Chaux-du-Milieu;18
Le Locle;438
Les Ponts-de-Martel;67
Cornaux;53
Cressier (NE);60
Enges;14
Hauterive (NE);120
Le Landeron;204
Lignières;54
Neuchâtel;3146
Saint-Blaise;205
La Tène;278
Valangin;29
Val-de-Ruz;731
La Côte-aux-Fées;29
Les Verrières;38
Val-de-Travers;573
Aire-la-Ville;32
Anières;88
Avully;68
Avusy;41
Bardonnex;94
Bellevue;136
Bernex;409
Carouge (GE);2351
Cartigny;34
Céligny;35
Chancy;48
Chêne-Bougeries;587
Chêne-Bourg;574
Choulex;53
Collex-Bossy;66
Collonge-Bellerive;559
Cologny;239
Confignon;218
Corsier (GE);100
Dardagny;43
Genève;20233
Genthod;108
Le Grand-Saconnex;643
Gy;27
Hermance;43
Jussy;71
Laconnex;28
Lancy;1406
Meinier;98
Meyrin;1408
Onex;585
Perly-Certoux;152
Plan-les-Ouates;688
Pregny-Chambésy;139
Presinge;31
Puplinge;94
Russin;25
Satigny;438
Soral;19
Thônex;579
Troinex;91
Vandoeuvres;109
Vernier;1432
Versoix;579
Veyrier;370
Boécourt;29
Bourrignon;9
Châtillon (JU);11
Courchapoix;12
Courrendlin;121
Courroux;119
Courtételle;93
Delémont;1104
Develier;63
Ederswiler;X
Mervelier;17
Mettembert;6
Movelier;13
Pleigne;12
Rossemaison;21
Saulcy;6
Soyhières;38
Haute-Sorne;285
Val Terbi;108
Le Bémont (JU);15
Les Bois;55
Les Breuleux;62
La Chaux-des-Breuleux;8
Les Enfers;6
Les Genevez (JU);19
Lajoux (JU);20
Montfaucon;30
Muriaux;27
Le Noirmont;93
Saignelégier;184
Saint-Brais;10
Soubey;6
Alle;93
Beurnevésin;6
Boncourt;75
Bonfol;22
Bure;26
Coeuve;21
Cornol;41
Courchavon;14
Courgenay;102
Courtedoux;26
Damphreux;13
Fahy;21
Fontenais;50
Grandfontaine;12
Lugnez;5
Porrentruy;671
Vendlincourt;18
Basse-Allaine;45
Clos du Doubs;72
Haute-Ajoie;50
La Baroche;41
