Gemeindename;Beschäftigte total
Langnau im Emmental;6214
Lauperswil;1366
Röthenbach im Emmental;566
Rüderswil;867
Schangnau;552
Signau;1010
Trub;621
Trubschachen;1002
Amsoldingen;132
Blumenstein;366
Buchholterberg;531
Eriz;170
Fahrni;198
Heiligenschwendi;549
Heimberg;2438
Hilterfingen;933
Homberg;164
Horrenbach-Buchen;113
Oberhofen am Thunersee;748
Oberlangenegg;267
Pohlern;61
Schwendibach;63
Sigriswil;1798
Steffisburg;6263
Teuffenthal (BE);78
Thierachern;437
Thun;28452
Uebeschi;170
Uetendorf;3260
Unterlangenegg;345
Wachseldorn;76
Zwieselberg;93
Forst-Längenbühl;185
Affoltern im Emmental;551
Dürrenroth;381
Eriswil;437
Huttwil;3119
Lützelflüh;1655
Rüegsau;1271
Sumiswald;2962
Trachselwald;366
Walterswil (BE);203
Wyssachen;529
Attiswil;374
Berken;41
Bettenhausen;123
Farnern;60
Graben;56
Heimenhausen;183
Herzogenbuchsee;3709
Inkwil;114
Niederbipp;2960
Niederönz;809
Oberbipp;827
Ochlenberg;185
Rumisberg;79
Seeberg;475
Thörigen;354
Walliswil bei Niederbipp;91
Walliswil bei Wangen;114
Wangen an der Aare;1232
Wangenried;110
Wiedlisbach;1185
Wolfisberg;42
Doppleschwand;212
Entlebuch;1636
Flühli;1016
Hasle (LU);863
Romoos;305
Schüpfheim;2425
Werthenstein;1794
Escholzmatt-Marbach;2348
Aesch (LU);549
Altwis;167
Ballwil;913
Emmen;16127
Ermensee;371
Eschenbach (LU);1489
Hitzkirch;2667
Hochdorf;5095
Hohenrain;1212
Inwil;1094
Rain;794
Römerswil;620
Rothenburg;5080
Schongau;382
Adligenswil;1610
Buchrain;2337
Dierikon;2139
Ebikon;6502
Gisikon;423
Greppen;149
Honau;131
Horw;5299
Kriens;12002
Luzern;81681
Malters;3584
Meggen;2250
Meierskappel;462
Root;4365
Schwarzenberg;463
Udligenswil;426
Vitznau;616
Weggis;2216
Beromünster;2797
Büron;1105
Buttisholz;1652
Eich;601
Geuensee;928
Grosswangen;1358
Hildisrieden;609
Knutwil;751
Mauensee;299
Neuenkirch;2582
Nottwil;2547
Oberkirch;2915
Rickenbach (LU);1308
Ruswil;3022
Schenkon;1110
Schlierbach;185
Sempach;2015
Sursee;13340
Triengen;3290
Wolhusen;2436
Alberswil;227
Altbüron;542
Altishofen;2504
Dagmersellen;3492
Ebersecken;231
Egolzwil;592
Ettiswil;913
Fischbach;199
Gettnau;626
Grossdietwil;377
Hergiswil bei Willisau;902
Luthern;709
Menznau;1528
Nebikon;1120
Pfaffnau;1559
Reiden;3805
Roggliswil;296
Schötz;1732
Ufhusen;323
Wauwil;679
Wikon;824
Zell (LU);1522
Willisau;4901
Altdorf (UR);6826
Andermatt;1126
Attinghausen;393
Bauen;39
Bürglen (UR);1864
Erstfeld;1496
Flüelen;903
Göschenen;209
Gurtnellen;225
Hospental;43
Isenthal;172
Realp;54
Schattdorf;2770
Seedorf (UR);631
Seelisberg;236
Silenen;445
Sisikon;93
Spiringen;292
Unterschächen;203
Wassen;242
Einsiedeln;6837
Gersau;655
Feusisberg;3493
Freienbach;14351
Wollerau;4119
Küssnacht (SZ);6974
Altendorf;3935
Galgenen;1278
Innerthal;49
Lachen;5047
Reichenburg;1185
Schübelbach;2803
Tuggen;1477
Vorderthal;250
Wangen (SZ);1683
Alpthal;182
Arth;4006
Illgau;204
Ingenbohl;3494
Lauerz;187
Morschach;737
Muotathal;1481
Oberiberg;413
Riemenstalden;43
Rothenthurm;841
Sattel;569
Schwyz;12379
Steinen;1229
Steinerberg;346
Unteriberg;862
Alpnach;3114
Engelberg;2519
Giswil;1388
Kerns;2521
Lungern;1112
Sachseln;3153
Sarnen;8287
Beckenried;1146
Buochs;1924
Dallenwil;796
Emmetten;370
Ennetbürgen;1557
Ennetmoos;709
Hergiswil (NW);3072
Oberdorf (NW);1333
Stans;9850
Stansstad;1841
Wolfenschiessen;891
Glarus Nord;8588
Glarus Süd;5056
Glarus;8387
Baar;24090
Cham;10116
Hünenberg;6898
Menzingen;1731
Neuheim;947
Oberägeri;1835
Risch;11107
Steinhausen;8522
Unterägeri;3281
Walchwil;1098
Zug;40963
Châtillon (FR);33
Cheiry;77
Cugy (FR);378
Fétigny;316
Gletterens;235
Lully (FR);319
Ménières;111
Montagny (FR);486
Nuvilly;118
Prévondavaux;18
Saint-Aubin (FR);442
Sévaz;400
Surpierre;144
Vallon;65
Les Montets;325
Delley-Portalban;199
Belmont-Broye;2462
Estavayer;4463
Cheyres-Châbles;330
Auboranges;61
Billens-Hennens;378
Chapelle (Glâne);40
Le Châtelard;113
Châtonnaye;154
Ecublens (FR);77
Grangettes;56
Massonnens;85
Mézières (FR);240
Montet (Glâne);32
Romont (FR);3786
Rue;240
Siviriez;580
Ursy;994
Villaz-Saint-Pierre;421
Vuisternens-devant-Romont;645
Villorsonnens;380
Torny;137
La Folliaz;176
Haut-Intyamon;374
Pont-en-Ogoz;382
Botterens;161
Broc;1016
Bulle;14648
Châtel-sur-Montsalvens;27
Corbières;161
Crésuz;25
Echarlens;134
Grandvillard;193
Gruyères;1172
Hauteville;102
Jaun;240
Marsens;981
Morlon;116
Le Pâquier (FR);226
Pont-la-Ville;127
Riaz;1199
La Roche;603
Sâles;732
Sorens;334
Vaulruz;569
Vuadens;1020
Bas-Intyamon;660
Val-de-Charmey;1095
Arconciel;107
Autigny;106
Avry;1459
Belfaux;643
Chénens;210
Corminboeuf;1034
Corserey;73
Cottens (FR);365
Ependes (FR);219
Ferpicloz;84
Fribourg;33368
Givisiez;4656
Granges-Paccot;4046
Grolley;836
Marly;2741
Matran;1398
Neyruz (FR);258
Noréaz;162
Pierrafortscha;43
Ponthaux;117
Le Mouret;852
Prez-vers-Noréaz;195
Senèdes;13
Treyvaux;399
Villars-sur-Glâne;9087
Villarsel-sur-Marly;16
Hauterive (FR);1179
La Brillaz;231
La Sonnaz;234
Gibloux;2756
Courgevaux;575
Courtepin;2578
Cressier (FR);719
Fräschels;106
Galmiz;130
Gempenach;100
Greng;44
Gurmels;825
Kerzers;2515
Kleinbösingen;127
Meyriez;309
Misery-Courtion;384
Muntelier;461
Murten;4693
Ried bei Kerzers;748
Ulmiz;165
Mont-Vully;1174
Alterswil;556
Brünisried;86
Düdingen;3979
Giffers;398
Bösingen;1062
Heitenried;308
Plaffeien;1593
Plasselb;156
Rechthalten;203
St. Antoni;519
St. Silvester;173
St. Ursen;382
Schmitten (FR);1574
Tafers;1780
Tentlingen;375
Ueberstorf;488
Wünnewil-Flamatt;2339
Attalens;728
Bossonnens;413
Châtel-Saint-Denis;3652
Granges (Veveyse);193
Remaufens;233
Saint-Martin (FR);207
Semsales;423
Le Flon;177
La Verrerie;259
Egerkingen;3707
Härkingen;3130
Kestenholz;611
Neuendorf;2042
Niederbuchsiten;644
Oberbuchsiten;684
Oensingen;5204
Wolfwil;655
Aedermannsdorf;199
Balsthal;2659
Gänsbrunnen;41
Herbetswil;137
Holderbank (SO);229
Laupersdorf;443
Matzendorf;423
Mümliswil-Ramiswil;781
Welschenrohr;251
Biezwil;81
Lüterkofen-Ichertswil;160
Lüterswil-Gächliwil;158
Messen;428
Schnottwil;318
Unterramsern;68
Lüsslingen-Nennigkofen;483
Buchegg;866
Bättwil;525
Büren (SO);181
Dornach;3146
Gempen;499
Hochwald;243
Hofstetten-Flüh;552
Metzerlen-Mariastein;268
Nuglar-St. Pantaleon;203
Rodersdorf;165
Seewen;293
Witterswil;499
Hauenstein-Ifenthal;84
Kienberg;112
Lostorf;956
Niedergösgen;1214
Obergösgen;484
Rohr (SO);28
Stüsslingen;211
Trimbach;1698
Winznau;266
Wisen (SO);90
Erlinsbach (SO);741
Aeschi (SO);236
Biberist;3204
Bolken;67
Deitingen;820
Derendingen;1941
Etziken;400
Gerlafingen;1530
Halten;116
Horriwil;209
Hüniken;15
Kriegstetten;423
Lohn-Ammannsegg;1017
Luterbach;1065
Obergerlafingen;586
Oekingen;94
Recherswil;411
Subingen;2533
Zuchwil;5248
Drei Höfe;89
Balm bei Günsberg;99
Bellach;2236
Bettlach;2184
Feldbrunnen-St. Niklaus;318
Flumenthal;354
Grenchen;10815
Günsberg;223
Hubersdorf;120
Kammersrohr;14
Langendorf;1393
Lommiswil;166
Oberdorf (SO);432
Riedholz;434
Rüttenen;318
Selzach;1744
Boningen;185
Däniken;2607
Dulliken;1384
Eppenberg-Wöschnau;278
Fulenbach;750
Gretzenbach;738
Gunzgen;824
Hägendorf;3111
Kappel (SO);563
Olten;21024
Rickenbach (SO);764
Schönenwerd;2198
Starrkirch-Wil;378
Walterswil (SO);163
Wangen bei Olten;2722
Solothurn;20737
Bärschwil;134
Beinwil (SO);139
Breitenbach;1739
Büsserach;670
Erschwil;468
Fehren;83
Grindel;59
Himmelried;119
Kleinlützel;430
Meltingen;137
Nunningen;675
Zullwil;128
Basel;185126
Bettingen;551
