Gemeindename;im 2. Sektor
Steinerberg;15
Unteriberg;57
Alpnach;89
Engelberg;55
Giswil;71
Kerns;93
Lungern;37
Sachseln;54
Sarnen;143
Beckenried;48
Buochs;80
Dallenwil;25
Emmetten;21
Ennetbürgen;47
Ennetmoos;26
Hergiswil (NW);81
Oberdorf (NW);42
Stans;132
Stansstad;58
Wolfenschiessen;28
Glarus Nord;266
Glarus Süd;154
Glarus;196
Baar;406
Cham;221
Hünenberg;157
Menzingen;48
Neuheim;37
Oberägeri;64
Risch;116
Steinhausen;141
Unterägeri;97
Walchwil;32
Zug;332
Châtillon (FR);X
Cheiry;X
Cugy (FR);22
Fétigny;5
Gletterens;11
Lully (FR);5
Ménières;X
Montagny (FR);24
Nuvilly;10
Prévondavaux;X
Saint-Aubin (FR);20
Sévaz;7
Surpierre;11
Vallon;X
Les Montets;21
Delley-Portalban;12
Belmont-Broye;74
Estavayer;130
Cheyres-Châbles;23
Auboranges;X
Billens-Hennens;7
Chapelle (Glâne);X
Le Châtelard;X
Châtonnaye;10
Ecublens (FR);5
Grangettes;X
Massonnens;7
Mézières (FR);10
Montet (Glâne);5
Romont (FR);78
Rue;17
Siviriez;32
Ursy;33
Villaz-Saint-Pierre;18
Vuisternens-devant-Romont;30
Villorsonnens;17
Torny;11
La Folliaz;5
Haut-Intyamon;26
Pont-en-Ogoz;12
Botterens;7
Broc;24
Bulle;236
Châtel-sur-Montsalvens;X
Corbières;9
Crésuz;X
Echarlens;7
Grandvillard;9
Gruyères;33
Hauteville;7
Jaun;12
Marsens;11
Morlon;X
Le Pâquier (FR);8
Pont-la-Ville;5
Riaz;26
La Roche;21
Sâles;26
Sorens;14
Vaulruz;26
Vuadens;24
Bas-Intyamon;14
Val-de-Charmey;48
Arconciel;6
Autigny;5
Avry;21
Belfaux;34
Chénens;11
Corminboeuf;25
Corserey;6
Cottens (FR);8
Ependes (FR);12
Ferpicloz;5
Fribourg;260
Givisiez;54
Granges-Paccot;43
Grolley;28
Marly;72
Matran;22
Neyruz (FR);15
Noréaz;6
Pierrafortscha;X
Ponthaux;X
Le Mouret;30
Prez-vers-Noréaz;11
Senèdes;X
Treyvaux;22
Villars-sur-Glâne;79
Villarsel-sur-Marly;X
Hauterive (FR);35
La Brillaz;11
La Sonnaz;10
Gibloux;93
Courgevaux;27
Courtepin;29
Cressier (FR);12
Fräschels;X
Galmiz;6
Gempenach;X
Greng;X
Gurmels;43
Kerzers;65
Kleinbösingen;11
Meyriez;5
Misery-Courtion;17
Muntelier;11
Murten;97
Ried bei Kerzers;22
Ulmiz;X
Mont-Vully;34
Alterswil;28
Brünisried;5
Düdingen;104
Giffers;14
Bösingen;45
Heitenried;11
Plaffeien;38
Plasselb;13
Rechthalten;16
St. Antoni;30
St. Silvester;9
St. Ursen;16
Schmitten (FR);46
Tafers;37
Tentlingen;19
Ueberstorf;24
Wünnewil-Flamatt;81
Attalens;41
Bossonnens;21
Châtel-Saint-Denis;99
Granges (Veveyse);15
Remaufens;14
Saint-Martin (FR);11
Semsales;31
Le Flon;14
La Verrerie;13
Egerkingen;49
Härkingen;39
Kestenholz;27
Neuendorf;25
Niederbuchsiten;14
Oberbuchsiten;32
Oensingen;90
Wolfwil;38
Aedermannsdorf;7
Balsthal;91
Gänsbrunnen;X
Herbetswil;8
Holderbank (SO);13
Laupersdorf;28
Matzendorf;22
Mümliswil-Ramiswil;26
Welschenrohr;16
Biezwil;X
Lüterkofen-Ichertswil;5
Lüterswil-Gächliwil;7
Messen;14
Schnottwil;19
Unterramsern;X
Lüsslingen-Nennigkofen;16
Buchegg;42
Bättwil;16
Büren (SO);9
Dornach;63
Gempen;11
Hochwald;11
Hofstetten-Flüh;32
Metzerlen-Mariastein;10
Nuglar-St. Pantaleon;19
Rodersdorf;9
Seewen;12
Witterswil;13
Hauenstein-Ifenthal;5
Kienberg;X
Lostorf;43
Niedergösgen;54
Obergösgen;19
Rohr (SO);X
Stüsslingen;9
Trimbach;57
Winznau;20
Wisen (SO);5
Erlinsbach (SO);30
Aeschi (SO);15
Biberist;95
Bolken;X
Deitingen;35
Derendingen;65
Etziken;16
Gerlafingen;43
Halten;X
Horriwil;10
Hüniken;X
Kriegstetten;21
Lohn-Ammannsegg;35
Luterbach;35
Obergerlafingen;27
Oekingen;10
Recherswil;33
Subingen;39
Zuchwil;64
Drei Höfe;6
Balm bei Günsberg;X
Bellach;73
Bettlach;55
Feldbrunnen-St. Niklaus;12
Flumenthal;16
Grenchen;207
Günsberg;17
Hubersdorf;8
Kammersrohr;X
Langendorf;29
Lommiswil;6
Oberdorf (SO);12
Riedholz;20
Rüttenen;22
Selzach;62
Boningen;10
Däniken;43
Dulliken;57
Eppenberg-Wöschnau;6
Fulenbach;29
Gretzenbach;38
Gunzgen;28
Hägendorf;60
Kappel (SO);21
Olten;174
Rickenbach (SO);6
Schönenwerd;64
Starrkirch-Wil;9
Walterswil (SO);6
Wangen bei Olten;33
Solothurn;168
Bärschwil;14
Beinwil (SO);X
Breitenbach;36
Büsserach;42
Erschwil;22
Fehren;8
Grindel;5
Himmelried;9
Kleinlützel;22
Meltingen;11
Nunningen;26
Zullwil;15
Basel;1'396
Bettingen;7
Riehen;110
Aesch (BL);132
Allschwil;188
Arlesheim;79
Biel-Benken;41
Binningen;87
Birsfelden;95
Bottmingen;32
Ettingen;43
Münchenstein;188
Muttenz;205
Oberwil (BL);93
Pfeffingen;9
Reinach (BL);163
Schönenbuch;12
Therwil;87
Blauen;6
Brislach;19
Burg im Leimental;X
Dittingen;17
Duggingen;24
Grellingen;18
Laufen;67
Liesberg;18
Nenzlingen;X
Roggenburg;7
Röschenz;21
Wahlen;11
Zwingen;55
Arisdorf;19
Augst;22
Bubendorf;60
Frenkendorf;54
Füllinsdorf;44
Giebenach;14
Hersberg;X
Lausen;64
Liestal;191
Lupsingen;8
Pratteln;193
Ramlinsburg;X
Seltisberg;13
Ziefen;26
Anwil;X
Böckten;14
Buckten;13
Buus;12
Diepflingen;14
Gelterkinden;90
Häfelfingen;X
Hemmiken;5
Itingen;25
Känerkinden;X
Kilchberg (BL);X
Läufelfingen;21
Maisprach;16
Nusshof;X
Oltingen;12
Ormalingen;33
Rickenbach (BL);X
Rothenfluh;9
Rümlingen;11
Rünenberg;9
Sissach;89
Tecknau;12
Tenniken;11
Thürnen;10
Wenslingen;12
Wintersingen;10
Wittinsburg;6
Zeglingen;X
Zunzgen;26
Arboldswil;6
Bennwil;10
Bretzwil;6
Diegten;21
Eptingen;14
Hölstein;35
Lampenberg;X
Langenbruck;10
Lauwil;6
Liedertswil;X
Niederdorf;33
Oberdorf (BL);25
Reigoldswil;27
Titterten;5
Waldenburg;18
Gächlingen;12
Löhningen;15
Neunkirch;29
Büttenhardt;X
Dörflingen;14
Lohn (SH);12
Stetten (SH);9
Thayngen;80
Bargen (SH);X
Beringen;62
Buchberg;7
Merishausen;10
Neuhausen am Rheinfall;132
Rüdlingen;15
Schaffhausen;350
Beggingen;8
Schleitheim;28
Siblingen;11
Buch (SH);6
Hemishofen;7
Ramsen;25
Stein am Rhein;47
Hallau;37
Oberhallau;X
Trasadingen;9
Wilchingen;33
Herisau;247
Hundwil;12
Schönengrund;9
Schwellbrunn;17
Stein (AR);30
Urnäsch;40
Waldstatt;29
Bühler;39
Gais;52
Speicher;53
Teufen (AR);77
Trogen;32
Grub (AR);15
Heiden;45
Lutzenberg;22
Rehetobel;34
Reute (AR);12
Wald (AR);14
Walzenhausen;47
Wolfhalden;41
Appenzell;135
Gonten;26
Rüte;52
Schlatt-Haslen;17
Schwende;29
Oberegg;49
Häggenschwil;12
Muolen;28
St. Gallen;805
Wittenbach;106
Berg (SG);6
Eggersriet;21
Goldach;93
Mörschwil;46
Rorschach;128
Rorschacherberg;54
Steinach;49
Tübach;29
Untereggen;21
Au (SG);118
Balgach;76
Berneck;72
Diepoldsau;123
Rheineck;65
St. Margrethen;102
Thal;124
Widnau;148
Altstätten;178
Eichberg;21
Marbach (SG);27
Oberriet (SG);164
Rebstein;52
Rüthi (SG);54
Buchs (SG);151
Gams;53
Grabs;76
Sennwald;85
Sevelen;56
Wartau;63
Bad Ragaz;67
Flums;78
Mels;109
Pfäfers;27
Quarten;47
Sargans;67
Vilters-Wangs;67
Walenstadt;66
Amden;17
Benken (SG);40
Kaltbrunn;81
Schänis;60
Weesen;15
Schmerikon;51
Uznach;79
Rapperswil-Jona;239
Gommiswald;68
Eschenbach (SG);145
Ebnat-Kappel;72
Wildhaus-Alt St. Johann;49
Nesslau;73
Hemberg;17
Lichtensteig;27
Oberhelfenschwil;27
Neckertal;76
Wattwil;148
Kirchberg (SG);149
Lütisburg;38
Mosnang;46
Bütschwil-Ganterschwil;93
Degersheim;66
Flawil;142
Jonschwil;67
Oberuzwil;78
Uzwil;127
Niederbüren;27
Niederhelfenschwil;50
Oberbüren;97
Zuzwil (SG);86
Wil (SG);242
Andwil (SG);35
Gaiserwald;71
Gossau (SG);228
Waldkirch;66
Vaz/Obervaz;45
Lantsch/Lenz;9
Schmitten (GR);X
Albula/Alvra;28
Surses;58
Bergün Filisur;21
Brusio;31
Poschiavo;97
Falera;X
Laax;27
Sagogn;X
Schluein;15
Vals;19
Lumnezia;40
Ilanz/Glion;66
Fürstenau;X
Rothenbrunnen;7
Scharans;9
Sils im Domleschg;28
Cazis;41
Flerden;X
Masein;5
Thusis;41
Tschappina;X
Urmein;X
Safiental;16
Domleschg;25
Avers;X
Sufers;X
Andeer;20
Casti-Wergenstein;X
Donat;X
Lohn (GR);X
Mathon;X
Rongellen;X
Zillis-Reischen;9
Ferrera;X
Rheinwald;13
Bonaduz;27
Domat/Ems;67
Rhäzüns;18
Felsberg;38
Flims;45
Tamins;13
Trin;22
Zernez;34
Samnaun;12
Scuol;83
Valsot;24
Bever;9
